Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
FRU;202312092220;6.00;0.20;0.00;0.00;97.70;5.70;20.00;5.40;12.60;-;-;-;-;-;-;-;-;-;-;-
GVE;202312092220;10.80;0.50;0.00;0.00;75.90;6.70;239.00;25.20;43.90;965.20;1013.90;1013.80;-;-;-;-;-;-;-;-
GES;202312092220;7.60;0.30;-;-;79.30;4.30;69.00;13.70;33.10;949.50;1011.10;1010.50;-;-;-;-;-;-;-;-
GIH;202312092220;8.60;1.10;0.00;0.00;78.90;5.20;265.00;16.20;33.80;955.80;1011.60;1011.20;-;-;-;-;-;-;-;-
GLA;202312092220;5.60;0.90;0.00;1.00;89.70;4.00;317.00;29.20;41.80;949.40;1011.00;1009.90;-;-;-;-;-;-;-;-
GOR;202312092220;-6.10;-;0.00;0.00;74.80;-9.80;280.00;33.80;59.40;686.20;-;1008.80;-;2975.10;-;-;-;-;-;-
GRE;202312092220;8.20;0.20;0.00;0.00;80.80;5.10;252.00;37.80;59.80;959.30;1010.20;1009.70;-;-;-;-;-;-;-;-
GRH;202312092220;-0.40;1.20;0.00;0.00;99.60;-0.50;335.00;40.30;63.00;795.30;-;1009.10;1425.50;-;-;-;-;-;-;-
GRO;202312092220;2.50;0.00;0.00;0.00;97.00;2.10;62.00;1.10;4.00;974.50;1014.20;1012.90;-;-;-;-;-;-;-;-
GRC;202312092220;-1.10;0.00;0.00;0.00;100.00;-1.10;-;-;-;830.50;-;1008.40;1420.10;-;-;-;-;-;-;-
GOS;202312092220;3.70;0.30;-;-;84.70;1.40;195.00;16.20;29.20;900.30;-;1009.10;1415.80;-;-;-;-;-;-;-
GOE;202312092220;8.60;0.10;0.00;2.00;77.10;4.80;226.00;18.00;32.00;963.80;1009.10;1008.70;-;-;-;-;-;-;-;-
GUE;202312092220;-2.50;0.30;0.00;0.00;94.50;-3.30;297.00;30.20;48.20;762.40;-;1007.50;1414.40;-;-;-;-;-;-;-
GUT;202312092220;8.20;0.00;0.00;1.00;89.50;6.60;234.00;26.30;49.70;954.40;1006.50;1006.00;-;-;-;-;-;-;-;-
HLL;202312092220;7.90;0.00;0.00;0.00;88.90;6.20;248.00;9.70;16.60;958.20;1007.90;1007.40;-;-;-;-;-;-;-;-
HOE;202312092220;2.70;0.10;0.00;0.00;96.70;2.20;280.00;37.10;63.70;878.80;-;1007.20;1403.00;-;-;-;-;-;-;-
ILZ;202312092220;0.50;0.20;0.00;0.00;99.50;0.40;-;-;-;929.30;-;1010.30;1408.80;-;-;-;-;-;-;-
INT;202312092220;9.40;0.00;0.00;1.00;72.40;4.70;207.00;16.90;42.50;943.20;1010.80;1010.70;-;-;-;-;-;-;-;-
JUN;202312092220;-9.50;-;0.00;0.00;89.70;-10.90;306.00;50.00;87.10;646.60;-;1006.60;-;2957.60;-;-;-;-;-;-
KOP;202312092220;7.40;0.50;0.00;0.00;85.00;5.00;237.00;26.60;49.00;953.60;1011.20;1010.50;-;-;-;-;-;-;-;-
BRL;202312092220;2.20;0.70;0.00;0.00;91.50;1.00;251.00;36.00;64.40;892.00;-;1011.90;1438.80;-;-;-;-;-;-;-
CDF;202312092220;3.20;0.50;0.00;0.00;87.00;1.20;238.00;26.30;47.90;894.80;-;1011.10;1433.00;-;-;-;-;-;-;-
DOL;202312092220;-1.00;1.50;0.00;0.00;100.00;-1.00;308.00;65.90;96.50;826.10;-;1011.00;1442.50;-;-;-;-;-;-;-
LAC;202312092220;8.00;0.30;-;-;85.30;5.70;-;-;-;-;-;-;-;-;-;-;-;-;-;-
LAG;202312092220;5.00;0.50;0.00;0.00;99.20;4.90;262.00;12.60;24.50;925.00;-;1011.20;1429.50;-;-;-;-;-;-;-
MLS;202312092220;0.50;0.00;0.00;0.00;100.00;0.50;263.00;74.50;127.10;793.90;-;1009.10;1423.60;-;-;-;-;-;-;-
LEI;202312092220;8.80;0.00;0.00;1.00;86.70;6.70;264.00;11.90;22.00;967.50;1008.20;1007.80;-;-;-;-;-;-;-;-
